,Unnamed: 0,Meses ultima donacion,Numero de Donaciones,Volumen donado cc,Meses primera donacion
249,100,11,4,1800,35
250,513,11,2,900,15
251,754,11,3,1350,35
252,148,11,1,450,11
253,633,11,1,450,11
254,1456,11,2,900,37
255,756,11,1,450,11
256,480,11,1,450,11
257,479,11,2,900,28
258,631,11,1,450,11
259,1307,11,5,2250,35
260,539,11,4,1800,43
261,256,11,3,1350,35
262,1448,11,4,1800,50
263,345,11,3,1350,49
264,852,11,4,1800,37
265,991,11,1,450,11
266,1192,11,4,1800,42
267,877,11,2,900,16
268,1465,11,1,450,11
269,356,11,1,450,11
270,1151,11,1,450,11
271,67,11,1,450,11
272,751,11,3,1350,20
273,766,11,2,900,16
274,625,11,2,900,19
275,409,11,4,1800,50
276,1361,11,4,1800,50
277,793,11,1,450,11
278,1187,11,3,1350,37
279,211,11,2,900,43
280,949,11,1,450,11
281,1062,11,2,900,16
282,133,11,1,450,11
283,705,11,1,450,11
284,1486,11,1,450,11
285,979,11,4,1800,22
286,695,11,2,900,19
287,158,11,2,900,22
288,1094,11,2,900,50
289,1484,11,2,900,16
290,960,11,4,1800,25
291,1132,11,2,900,25
292,661,11,3,1350,22
293,1394,11,1,450,11
294,901,11,2,900,28
295,1385,11,2,900,11
296,643,11,2,900,16
297,1477,11,2,900,11
298,1287,11,3,1350,28
299,1076,11,1,450,11
300,1501,11,4,1800,28
301,218,11,3,1350,50
302,1262,11,2,900,16
303,546,11,1,450,11
304,1231,15,1,450,15
305,1533,15,1,450,15
306,948,15,3,1350,45
307,37,15,4,1800,42
308,102,15,1,450,15
309,121,15,1,450,15
310,686,15,1,450,15
311,1341,15,1,450,15
312,153,15,1,450,15
313,1143,15,1,450,15
314,1387,15,1,450,15
315,647,15,4,1800,50
316,365,15,2,900,39
317,442,15,1,450,15
318,1327,15,1,450,15
319,1365,15,1,450,15
320,792,15,1,450,15
321,1136,15,4,1800,28
322,839,15,1,450,15
323,130,15,1,450,15
324,1032,15,2,900,15
325,1438,15,1,450,15
326,1469,15,1,450,15
327,616,15,3,1350,37
328,1196,15,2,900,32
329,908,15,1,450,15
330,1519,15,2,900,15
331,1313,15,3,1350,45
332,425,15,1,450,15
333,295,15,1,450,15
334,1406,15,2,900,35
335,490,15,1,450,15
336,1065,15,3,1350,45
337,230,15,1,450,15
338,231,15,1,450,15
339,867,15,1,450,15
340,349,15,1,450,15
341,1077,15,1,450,15
342,1399,15,1,450,15
343,820,15,1,450,15
344,313,15,2,900,50
345,1280,15,2,900,15
346,1339,15,1,450,15
347,257,15,1,450,15
348,1247,15,1,450,15
349,476,15,1,450,15
350,1398,15,1,450,15
351,1137,15,1,450,15
352,791,15,2,900,50
353,1329,15,1,450,15
354,773,15,1,450,15
355,1215,15,3,1350,37
356,712,15,3,1350,35
357,104,15,1,450,15
358,202,15,2,900,20
359,680,15,7,3150,44
360,1155,15,1,450,15
361,838,15,1,450,15
362,837,15,1,450,15
363,1354,15,4,1800,50
364,801,16,1,450,16
365,1266,16,3,1350,50
366,1322,16,1,450,16
367,1127,16,2,900,22
368,124,16,1,450,16
369,669,16,3,1350,42
370,458,16,3,1350,32
371,567,16,1,450,16
372,78,16,1,450,16
373,1160,16,1,450,16
374,376,16,3,1350,22
375,1362,16,1,450,16
376,530,16,1,450,16
377,44,16,1,450,16
378,967,16,2,900,50
379,721,16,1,450,16
380,899,16,1,450,16
381,79,16,1,450,16
382,1419,16,1,450,16
383,878,16,1,450,16
384,951,16,2,900,32
385,25,16,1,450,16
386,278,16,1,450,16
387,1222,16,1,450,16
388,91,16,1,450,16
389,1460,16,1,450,16
390,836,16,1,450,16
391,696,16,1,450,16
392,1530,16,4,1800,35
393,944,16,2,900,50
394,726,16,1,450,16
395,902,16,1,450,16
396,1464,16,1,450,16
397,1479,16,1,450,16
398,609,16,1,450,16
399,683,16,1,450,16
400,1507,16,1,450,16
401,1537,16,2,900,20
402,402,16,1,450,16
403,1355,16,1,450,16
404,1415,16,2,900,22
405,1091,16,1,450,16
406,1068,16,1,450,16
407,1270,16,1,450,16
408,1020,16,3,1350,32
409,454,16,2,900,19
410,1296,16,2,900,22
411,1377,16,1,450,16
412,385,16,1,450,16
413,27,16,1,450,16
414,1506,16,1,450,16
415,1004,16,1,450,16
